Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,889.599976,913.000000,869.500000,890.799988,890.799988,54800
2018-10-17,921.099976,954.500000,891.500000,948.900024,948.900024,124100
2018-10-18,899.599976,904.299988,838.299988,863.900024,863.900024,165700
2018-10-19,850.799988,895.099976,850.000000,880.200012,880.200012,106500
2018-10-22,819.000000,843.299988,802.900024,807.599976,807.599976,112800
2018-10-23,847.200012,882.799988,840.299988,864.000000,864.000000,88700
2018-10-24,879.000000,882.799988,811.000000,834.000000,834.000000,62600
2018-10-25,834.400024,865.000000,801.200012,826.099976,826.099976,101500
2018-10-26,770.599976,837.000000,757.500000,832.000000,832.000000,120500
2018-10-29,755.799988,800.500000,749.299988,791.000000,791.000000,225600
2018-10-30,833.000000,835.000000,774.000000,806.000000,806.000000,94900
2018-10-31,828.500000,870.000000,804.799988,862.799988,862.799988,103400
2018-11-01,855.599976,867.799988,809.700012,834.799988,834.799988,114300
2018-11-02,785.400024,882.900024,784.500000,867.900024,867.900024,156700
2018-11-05,1054.500000,1091.000000,1025.400024,1077.000000,1077.000000,236200
2018-11-06,1080.099976,1096.800049,1052.400024,1059.099976,1059.099976,79800
2018-11-07,1050.400024,1077.000000,1017.700012,1048.800049,1048.800049,81600
2018-11-08,1062.400024,1085.000000,1028.199951,1076.400024,1076.400024,63200
2018-11-09,1176.099976,1311.099976,1174.900024,1219.199951,1219.199951,135200
2018-11-12,1283.000000,1385.699951,1242.400024,1384.199951,1384.199951,99300
2018-11-13,1452.599976,1646.599976,1452.000000,1586.400024,1586.400024,177800
2018-11-14,2001.000000,2602.300049,1962.000000,2531.000000,2531.000000,457000
2018-11-15,1754.000000,1794.699951,1051.000000,1103.000000,1103.000000,369500
2018-11-16,1298.300049,1535.000000,1265.199951,1511.699951,1511.699951,353800
2018-11-19,1678.800049,1939.900024,1590.500000,1707.400024,1707.400024,237400
2018-11-20,1604.099976,1701.199951,1320.599976,1641.300049,1641.300049,177400
2018-11-21,1710.599976,1877.699951,1535.000000,1579.400024,1579.400024,171900
2018-11-23,1537.400024,1702.000000,1535.000000,1586.199951,1586.199951,75900
2018-11-26,1246.400024,1420.000000,1225.900024,1362.099976,1362.099976,237900
2018-11-27,1298.000000,1430.900024,1240.300049,1319.599976,1319.599976,161000
2018-11-28,1506.000000,1799.800049,1445.400024,1735.199951,1735.199951,256700
2018-11-29,1628.000000,1733.199951,1500.199951,1645.099976,1645.099976,183100
2018-11-30,1666.599976,1724.199951,1527.099976,1676.199951,1676.199951,176000
2018-12-03,1368.800049,1441.599976,1280.699951,1380.000000,1380.000000,291400
2018-12-04,1549.500000,1587.199951,1478.500000,1522.599976,1522.599976,199000
2018-12-06,1348.599976,1431.000000,1308.800049,1399.800049,1399.800049,174600
2018-12-07,1426.099976,1590.000000,1425.000000,1542.900024,1542.900024,197000
2018-12-10,1509.699951,1678.199951,1456.800049,1524.199951,1524.199951,144000
2018-12-11,1474.400024,1484.800049,1375.800049,1392.000000,1392.000000,215600
2018-12-12,1240.000000,1298.699951,1150.500000,1168.400024,1168.400024,315900
2018-12-13,1303.000000,1323.400024,1146.699951,1180.000000,1180.000000,284800
2018-12-14,1035.199951,1042.500000,918.599976,918.599976,918.599976,303300
2018-12-17,850.400024,854.000000,701.000000,726.400024,726.400024,367700
2018-12-18,810.299988,898.900024,793.099976,870.799988,870.799988,365100
2018-12-19,730.900024,855.000000,703.599976,818.700012,818.700012,355400
2018-12-20,886.299988,901.200012,737.700012,812.500000,812.500000,322000
2018-12-21,800.400024,891.500000,777.900024,815.799988,815.799988,267500
2018-12-24,710.700012,753.500000,691.200012,735.400024,735.400024,248400
2018-12-26,629.900024,690.000000,600.299988,645.099976,645.099976,451100
2018-12-27,655.400024,728.299988,626.000000,686.400024,686.400024,399200
2018-12-28,611.700012,638.900024,562.799988,578.200012,578.200012,653100
2018-12-31,480.200012,483.500000,388.000000,403.100006,403.100006,852600
2019-01-02,380.399994,407.500000,375.000000,391.700012,391.700012,742200
2019-01-03,380.799988,395.000000,366.100006,379.399994,379.399994,561800
2019-01-04,405.000000,428.799988,378.000000,418.600006,418.600006,650000
2019-01-07,391.500000,406.700012,378.000000,384.799988,384.799988,664200
2019-01-08,417.799988,427.100006,392.500000,400.799988,400.799988,530100
2019-01-09,394.600006,412.500000,386.299988,407.399994,407.399994,508300
2019-01-10,419.899994,430.000000,390.899994,401.000000,401.000000,679100
2019-01-11,421.299988,471.700012,414.299988,459.899994,459.899994,709700
2019-01-14,542.200012,620.000000,541.799988,607.700012,607.700012,861500
2019-01-15,608.000000,622.299988,562.099976,574.000000,574.000000,604500
2019-01-16,646.099976,654.400024,521.500000,546.500000,546.500000,868600
2019-01-17,597.200012,600.500000,534.000000,549.400024,549.400024,804400
2019-01-18,499.700012,588.000000,497.200012,555.599976,555.599976,919900
2019-01-22,479.399994,494.399994,440.000000,446.799988,446.799988,979600
2019-01-23,464.299988,469.899994,406.000000,430.399994,430.399994,731500
2019-01-24,450.000000,471.299988,435.500000,460.899994,460.899994,731000
2019-01-25,437.299988,489.899994,437.100006,482.100006,482.100006,674900
2019-01-28,400.299988,412.299988,383.100006,394.799988,394.799988,1030300
2019-01-29,375.000000,408.799988,370.000000,399.600006,399.600006,964200
2019-01-30,389.399994,397.500000,378.000000,385.700012,385.700012,627200
2019-01-31,390.700012,392.500000,361.000000,373.200012,373.200012,1013900
2019-02-01,356.100006,362.299988,333.100006,335.799988,335.799988,1064800
2019-02-04,312.700012,319.500000,306.200012,308.299988,308.299988,958300
2019-02-05,313.700012,323.600006,305.799988,316.299988,316.299988,665000
2019-02-06,310.000000,320.399994,304.000000,311.899994,311.899994,625000
2019-02-07,296.600006,297.399994,268.500000,274.799988,274.799988,1383500
2019-02-08,280.000000,288.899994,270.799988,286.799988,286.799988,672300
2019-02-11,314.799988,316.600006,296.299988,299.600006,299.600006,848600
2019-02-12,299.500000,315.299988,297.200012,305.600006,305.600006,516900
2019-02-13,284.000000,295.299988,279.700012,286.200012,286.200012,690400
2019-02-14,284.299988,289.899994,277.200012,278.500000,278.500000,696100
2019-02-15,286.500000,293.100006,278.700012,292.299988,292.299988,710900
2019-02-19,293.000000,307.299988,291.100006,303.899994,303.899994,552100
2019-02-20,310.000000,312.000000,295.600006,299.399994,299.399994,545300
2019-02-21,308.500000,316.899994,304.899994,315.700012,315.700012,570700
2019-02-22,310.000000,322.799988,309.799988,315.500000,315.500000,454500
2019-02-25,335.000000,348.799988,327.299988,345.200012,345.200012,722600
2019-02-26,354.700012,356.700012,327.500000,331.899994,331.899994,804400
2019-02-27,328.799988,344.399994,325.399994,343.600006,343.600006,505300
2019-02-28,353.399994,356.899994,336.799988,343.200012,343.200012,554000
2019-03-01,365.000000,366.799988,351.700012,358.200012,358.200012,542700
2019-03-04,358.299988,365.500000,354.200012,360.799988,360.799988,306700
2019-03-05,364.500000,374.500000,356.600006,373.399994,373.399994,416900
2019-03-06,365.000000,367.000000,348.600006,358.200012,358.200012,567300
2019-03-07,359.799988,367.500000,349.100006,364.700012,364.700012,496200
2019-03-08,367.700012,370.100006,362.200012,363.500000,363.500000,203300
2019-03-11,338.700012,339.899994,329.100006,332.500000,332.500000,297500
2019-03-12,331.700012,339.899994,326.200012,338.500000,338.500000,166300
2019-03-13,341.700012,351.000000,341.700012,348.600006,348.600006,303400
2019-03-14,354.799988,358.600006,349.500000,355.200012,355.200012,269000
2019-03-15,347.399994,348.799988,335.000000,336.100006,336.100006,241500
2019-03-18,348.299988,357.700012,347.600006,353.500000,353.500000,216700
2019-03-19,359.100006,362.100006,354.100006,357.799988,357.799988,127300
2019-03-20,349.299988,350.200012,341.100006,349.100006,349.100006,190700
2019-03-21,338.000000,346.700012,335.500000,344.600006,344.600006,254700
2019-03-22,327.500000,328.500000,321.100006,325.799988,325.799988,358400
2019-03-25,317.700012,329.500000,317.700012,324.899994,324.899994,188400
2019-03-26,321.700012,324.000000,316.000000,317.000000,317.000000,182600
2019-03-27,301.799988,310.200012,296.799988,308.600006,308.600006,435900
2019-03-28,306.100006,312.399994,302.500000,307.200012,307.200012,202200
2019-03-29,294.500000,298.100006,286.100006,289.799988,289.799988,427400
2019-04-01,298.500000,309.899994,298.000000,300.299988,300.299988,334400
2019-04-02,300.399994,300.600006,290.899994,296.299988,296.299988,284200
2019-04-03,291.600006,295.000000,286.000000,290.299988,290.299988,303700
2019-04-04,290.899994,292.200012,279.000000,280.600006,280.600006,501600
2019-04-05,283.000000,289.700012,282.100006,289.299988,289.299988,276300
2019-04-08,296.700012,305.500000,294.500000,302.100006,302.100006,322500
2019-04-09,295.500000,302.000000,293.200012,301.399994,301.399994,222400
2019-04-10,297.799988,304.000000,296.000000,298.500000,298.500000,205200
2019-04-11,293.700012,300.700012,284.500000,290.200012,290.200012,393700
2019-04-12,291.200012,293.600006,283.500000,284.600006,284.600006,354800
2019-04-15,271.000000,273.700012,263.399994,264.799988,264.799988,630300
2019-04-16,264.200012,264.799988,258.899994,259.500000,259.500000,471100
2019-04-17,248.500000,249.800003,239.899994,240.399994,240.399994,687600
