Date,Open,High,Low,Close,Adj Close,Volume
2019-04-18,240.000000,242.699997,232.600006,235.000000,235.000000,626000
2019-04-22,242.300003,244.500000,238.699997,242.199997,242.199997,271900
2019-04-23,231.500000,231.899994,223.000000,225.300003,225.300003,584600
2019-04-24,229.600006,230.399994,223.800003,225.300003,225.300003,292800
2019-04-25,226.699997,240.899994,219.199997,235.699997,235.699997,562800
2019-04-26,246.600006,253.800003,243.600006,248.500000,248.500000,468000
2019-04-29,245.800003,252.000000,237.199997,251.199997,251.199997,304800
2019-04-30,251.500000,253.000000,242.899994,246.000000,246.000000,309300
2019-05-01,255.600006,260.000000,253.699997,256.500000,256.500000,308900
2019-05-02,250.000000,253.399994,242.000000,248.300003,248.300003,445500
2019-05-03,243.699997,247.100006,239.000000,241.300003,241.300003,360100
2019-05-06,233.699997,237.399994,228.600006,232.300003,232.300003,374600
2019-05-07,236.899994,239.500000,232.399994,235.399994,235.399994,226300
2019-05-08,246.500000,255.500000,246.500000,253.300003,253.300003,351600
2019-05-09,246.600006,250.300003,240.600006,248.500000,248.500000,374800
2019-05-10,247.300003,264.600006,247.000000,257.600006,257.600006,554600
2019-05-13,263.899994,265.200012,253.699997,256.600006,256.600006,302800
2019-05-14,263.799988,267.700012,260.500000,264.700012,264.700012,331400
2019-05-15,258.899994,259.100006,249.300003,251.600006,251.600006,426700
2019-05-16,258.200012,263.000000,253.000000,261.100006,261.100006,360700
2019-05-17,263.500000,266.500000,257.200012,257.600006,257.600006,248000
2019-05-20,271.000000,277.000000,266.600006,268.200012,268.200012,473100
2019-05-21,261.600006,261.600006,251.000000,253.899994,253.899994,527800
2019-05-22,243.899994,244.199997,228.000000,230.899994,230.899994,598000
2019-05-23,234.199997,240.000000,227.800003,237.000000,237.000000,494600
2019-05-24,231.600006,245.199997,228.000000,241.300003,241.300003,350200
2019-05-28,228.800003,237.800003,228.000000,235.100006,235.100006,359700
2019-05-29,249.199997,251.800003,242.600006,245.199997,245.199997,576300
2019-05-30,235.699997,236.000000,221.399994,227.800003,227.800003,1147500
2019-05-31,213.800003,215.399994,198.100006,201.199997,201.199997,1200500
2019-06-03,196.500000,196.800003,182.800003,187.800003,187.800003,1125500
2019-06-04,187.000000,196.399994,186.199997,192.100006,192.100006,503500
2019-06-05,185.600006,188.300003,176.600006,181.300003,181.300003,647600
2019-06-06,178.500000,184.899994,165.199997,172.100006,172.100006,993400
2019-06-07,170.800003,176.100006,165.600006,173.000000,173.000000,424800
2019-06-10,172.500000,178.100006,171.600006,177.199997,177.199997,548000
2019-06-11,173.000000,187.600006,172.199997,185.500000,185.500000,426800
2019-06-12,182.699997,184.699997,178.699997,180.899994,180.899994,389700
2019-06-13,178.300003,181.899994,168.699997,170.199997,170.199997,950500
2019-06-14,174.300003,184.800003,172.699997,182.800003,182.800003,612500
2019-06-17,183.500000,184.899994,177.399994,178.699997,178.699997,532400
2019-06-18,174.600006,176.800003,164.500000,166.600006,166.600006,864700
2019-06-19,171.000000,171.500000,154.300003,157.300003,157.300003,1058600
2019-06-20,158.100006,159.800003,129.699997,140.000000,140.000000,2787900
2019-06-21,136.300003,140.800003,134.300003,137.300003,137.300003,819900
2019-06-24,149.399994,160.600006,146.199997,157.500000,157.500000,14585100
2019-06-25,154.100006,160.399994,147.800003,154.100006,154.100006,8905300
2019-06-26,155.199997,162.199997,152.500000,155.300003,155.300003,7604600
2019-06-27,156.399994,169.399994,156.300003,165.300003,165.300003,9256900
2019-06-28,173.899994,174.800003,162.100006,164.000000,164.000000,8516000
2019-07-01,152.800003,155.500000,144.000000,153.100006,153.100006,11566800
2019-07-02,155.800003,156.199997,147.100006,148.100006,148.100006,5602900
2019-07-03,155.699997,157.800003,150.399994,156.800003,156.800003,5017000
